AA	Mass	C	H	N	O	S	Se
G	57.02146	2	3	1	1	0	0
A	71.03711	3	5	1	1	0	0
S	87.03203	3	5	1	2	0	0
P	97.05276	5	7	1	1	0	0
V	99.06841	5	9	1	1	0	0
T	101.04768	4	7	1	2	0	0
C	103.00919	3	5	1	1	1	0
L	113.08406	6	11	1	1	0	0
I	113.08406	6	11	1	1	0	0
J	113.08406	6	11	1	1	0	0
N	114.04293	4	6	2	2	0	0
D	115.02694	4	5	1	3	0	0
Q	128.05858	5	8	2	2	0	0
K	128.09496	6	12	2	1	0	0
E	129.04259	5	7	1	3	0	0
M	131.04049	5	9	1	1	1	0
H	137.05891	6	7	3	1	0	0
F	147.06841	9	9	1	1	0	0
R	156.10111	6	12	4	1	0	0
Y	163.06333	9	9	1	2	0	0
W	186.07931	11	10	2	1	0	0
O	237.14773	12	19	3	2	0	0
U	150.95364	3	5	1	1	0	1
